formula,HV
Al12.3Cr17.5Cu17.5Fe17.5Ni35.1,290
Al13.8Cr17.2Cu17.2Fe17.2Ni34.5,315
Al15.3Cr16.9Cu16.9Fe16.9Ni33.9,339
Al19.4Cr16.1Cu16.1Fe16.1Ni32.3,521
Al23.1Cr15.4Cu15.4Fe15.4Ni30.8,546
Al24.2Cr15.2Cu15.2Fe15.2Ni30.3,550
Al28.6Cr14.3Cu14.3Fe14.3Ni28.6,567
Al30.6Cr13.9Cu13.9Fe13.9Ni27.8,576
Al33.3Cr13.3Cu13.3Fe13.3Ni26.7,593
Al21.7Cr21.7Cu21.7Fe21.7Ni13,495
Al20.8Cr20.8Cu20.8Fe20.8Ni16.7,486
Al19.2Cr19.2Cu19.2Fe19.2Ni23.1,408
Al18.5Cr18.5Cu18.5Fe18.5Ni25.9,369
Al16.7Co16.7Cr16.7Cu8.3Fe16.7Ni25,358
Al20Co20Cr20Cu10Fe10Ni20,586
Al16.7Co16.7Cr25Cu8.3Fe16.7Ni16.7,601
Al15.4Co30.8Cr15.4Cu7.7Fe15.4Ni15.4,295
Al22.2Co22.2Cu11.1Fe22.2Ni22.2,584
Al15.4Co15.4Cr15.4Cu7.7Fe15.4Ni30.8,310
Al16.7Co25Cr16.7Cu8.3Fe16.7Ni16.7,451
Al20Co20Cr10Cu10Fe20Ni20,546
Al15.4Co15.4Cr30.8Cu7.7Fe15.4Ni15.4,607
Al16.7Co16.7Cr16.7Cu8.3Fe25Ni16.7,537
Al15.4Co15.4Cr15.4Cu7.7Fe30.8Ni15.4,514
Al20Co20Cr20Cu10Fe20Ni10,604
Al22.2Co22.2Cr22.2Cu11.1Fe22.2,639
Al22.2Cr22.2Cu11.1Fe22.2Ni22.2,534
Al30.8Co15.4Cr15.4Cu7.7Fe15.4Ni15.4,609
Al20Co10Cr20Cu10Fe20Ni20,551
Al11.1Cr22.2Cu22.2Fe22.2Ni22.2,382
Al27.3Cr18.2Cu18.2Fe18.2Ni18.2,573
Al33.3Cr16.7Cu16.7Fe16.7Ni16.7,651
Al7.7Co30.8Fe30.8Ni30.8,137
Al14.3Co28.6Fe28.6Ni28.6,209
Al20Co26.7Fe26.7Ni26.7,383
Al8Co17Cr17Cu8Fe17Ni33,280
Al23Co15Cr23Cu8Fe15Ni16,580
Al11.8Cr29.4Fe44.1Ni14.7,450
Al6.3Cr31.3Fe46.9Ni15.6,304
Al38.5Co15.4Cr15.4Fe15.4Ni15.4,695
Al42.9Co14.3Cr14.3Fe14.3Ni14.3,740
Al28.6Co14.3Cr14.3Cu14.3Fe14.3Ni14.3,571
Al20Co20Cr20Cu20Ni20,415
Al25Co16.7Cr16.7Cu8.3Fe16.7Ni16.7,602
Co20Cr20Cu20Fe20Ni20,144
Al43Co6Cr33Cu6Fe6Ni6,764
Al42.9Co14.3Cr7.1Cu7.1Fe7.1Ni21.4,591
Al42.9Co21.4Cr7.1Cu7.1Fe7.1Ni14.3,701
Al40Co13.3Cr6.7Cu13.3Fe20Ni6.7,768
Al46.2Co15.4Cr7.7Cu7.7Fe15.4Ni7.7,702
Al42.9Co14.3Cr14.3Cu7.1Fe7.1Ni14.3,720
Al42.9Co7.1Cr14.3Cu7.1Fe14.3Ni14.3,694
Al7Cr23.3Fe23.3Ni46.5,149
Al11.1Cr22.2Fe22.2Ni44.4,229
Al13Cr28Cu22Fe6Ni31,459
Al12Cr31Cu21Fe5Ni31,469
Al12Cr31Cu20Fe5Ni32,483
Al10Cr35Cu25Fe5Ni25,472
Al10Cr35Cu26Fe5Ni24,454
Al10Cr35Cu24Fe5Ni26,441
Al11Cr29Cu29Fe5Ni26,495
Al11Cr28Cu29Fe7Ni25,477
Al11Cr28Cu27Fe6Ni28,469
Al23.1Cr15.4Cu15.4Fe15.4Ni15.4Mn15.4,718
Al17.2Co17.2Cr17.2Fe17.2Ni17.2Ti13.8,525.2
Co25Fe25Ni25Mn25,138
Cr24.4Cu2.4Fe24.4Ni24.4Ti24.4,834
Cr23.5Cu5.9Fe23.5Ni23.5Ti23.5,825
Cr22.2Cu11.1Fe22.2Ni22.2Ti22.2,727
Cr21.1Cu15.8Fe21.1Ni21.1Ti21.1,661
Cr20Cu20Fe20Ni20Ti20,657
Cr10Fe50Ni10Mn30,136
Cr18Fe50Ni10Mn22,149
Co20Cr20Fe20Ni20Ti20,887
Al16.4Co16.4Cr16.4Cu16.4Fe16.4Ni16.4V1.6,482
Al15.2Cr15.2Cu24.2Fe15.2Ni30.3,372
Al4.8Cr23.8Cu23.8Ni23.8Ti23.8,376
Al20Cr20Cu20Ni20Ti20,513
Co25Fe25Ni25Mo25,458
Al20Co20Fe20Ni20Mo20,750
Al2.5Co25Cr22.5Fe25Ni25,135.3
Al5Co25Cr20Fe25Ni25,147.2
Al7.5Co25Cr17.5Fe25Ni25,175.3
Al10Co25Cr15Fe25Ni25,190.4
Al12.5Co25Cr12.5Fe25Ni25,210.6
Al15Co25Cr10Fe25Ni25,250.3
Al17.5Co25Cr7.5Fe25Ni25,314.1
Al20Co25Cr5Fe25Ni25,386.5
Al22.5Co25Cr2.5Fe25Ni25,486.3
Al6.5Co21.7Cr21.7Fe21.7Ni21.7Mn6.5,147
Al6.1Co20.4Cr20.4Fe20.4Ni20.4Mn12.2,135
Al10.4Co20.8Cr20.8Fe20.8Ni20.8Mn6.3,176
